Year,Geography,Geographic Area Name,Households Estimate Total,Families Estimate Total,Married-Couple Families Estimate Total,Nonfamily Households Estimate Total,"Households Estimate Less Than $10,000","Families Estimate Less Than $10,000","Married-Couple Families Estimate Less Than $10,000","Nonfamily Households Estimate Less Than $10,000","Households Estimate $10,000 To $14,999","Families Estimate $10,000 To $14,999","Married-Couple Families Estimate $10,000 To $14,999","Nonfamily Households Estimate $10,000 To $14,999","Households Estimate $15,000 To $24,999","Families Estimate $15,000 To $24,999","Married-Couple Families Estimate $15,000 To $24,999","Nonfamily Households Estimate $15,000 To $24,999","Households Estimate $25,000 To $34,999","Families Estimate $25,000 To $34,999","Married-Couple Families Estimate $25,000 To $34,999","Nonfamily Households Estimate $25,000 To $34,999","Households Estimate $35,000 To $49,999","Families Estimate $35,000 To $49,999","Married-Couple Families Estimate $35,000 To $49,999","Nonfamily Households Estimate $35,000 To $49,999","Households Estimate $50,000 To $74,999","Families Estimate $50,000 To $74,999","Married-Couple Families Estimate $50,000 To $74,999","Nonfamily Households Estimate $50,000 To $74,999","Households Estimate $75,000 To $99,999","Families Estimate $75,000 To $99,999","Married-Couple Families Estimate $75,000 To $99,999","Nonfamily Households Estimate $75,000 To $99,999","Households Estimate $100,000 To $149,999","Families Estimate $100,000 To $149,999","Married-Couple Families Estimate $100,000 To $149,999","Nonfamily Households Estimate $100,000 To $149,999","Households Estimate $150,000 To $199,999","Families Estimate $150,000 To $199,999","Married-Couple Families Estimate $150,000 To $199,999","Nonfamily Households Estimate $150,000 To $199,999","Households Estimate $200,000 Or More","Families Estimate $200,000 Or More","Married-Couple Families Estimate $200,000 Or More","Nonfamily Households Estimate $200,000 Or More",Households Estimate Median Income (Dollars),Families Estimate Median Income (Dollars),Married-Couple Families Estimate Median Income (Dollars),Nonfamily Households Estimate Median Income (Dollars),Households Estimate Mean Income (Dollars),Families Estimate Mean Income (Dollars),Married-Couple Families Estimate Mean Income (Dollars),Nonfamily Households Estimate Mean Income (Dollars),Households Estimate Percent Imputed Household Income In The Past 12 Months,Families Estimate Percent Imputed Household Income In The Past 12 Months,Married-Couple Families Estimate Percent Imputed Household Income In The Past 12 Months,Nonfamily Households Estimate Percent Imputed Household Income In The Past 12 Months,Households Estimate Percent Imputed Family Income In The Past 12 Months,Families Estimate Percent Imputed Family Income In The Past 12 Months,Married-Couple Families Estimate Percent Imputed Family Income In The Past 12 Months,Nonfamily Households Estimate Percent Imputed Family Income In The Past 12 Months,Households Estimate Percent Imputed Nonfamily Income In The Past 12 Months,Families Estimate Percent Imputed Nonfamily Income In The Past 12 Months,Married-Couple Families Estimate Percent Imputed Nonfamily Income In The Past 12 Months,Nonfamily Households Estimate Percent Imputed Nonfamily Income In The Past 12 Months
2012,0400000US33,New Hampshire,516845,347244,277415,169601,4.4,2.5,0.8,9.7,4,1.8,0.7,9.1,8.3,5.2,3.2,15.5,8.9,7,5.4,13.4,12.8,11.4,9.7,16.3,18.5,19,18.6,17,14.5,16.9,18.8,8.6,16.8,21,24.6,6.8,6.6,8.5,10.1,2.1,5.2,6.8,8.2,1.6,64925,79488,89675,37167,82346,95859,106914,50716,26.2,(X),(X),(X),(X),26.2,(X),(X),(X),(X),(X),24.4
2012,0400000US34,New Jersey,3186878,2205530,1634688,981348,5.3,3.3,1,10.8,3.8,2.1,1,8.1,7.9,5.3,3.2,14.6,7.9,6.4,4.6,11.8,10.7,9.5,7.8,13.6,16.3,15.9,14.8,16.9,13.1,14.2,15,10,17.5,20.8,24.4,8.8,8.4,10.6,13.2,2.8,9.1,11.8,15.1,2.6,71637,87389,104628,39774,96602,112730,131149,56473,30.6,(X),(X),(X),(X),31.2,(X),(X),(X),(X),(X),27.5
2012,0400000US35,New Mexico,763844,500987,351522,262857,9.2,6.3,2.4,16.8,6.4,4.3,2.7,10.8,12.7,10.8,7.7,17.2,11.7,10.8,9,13.8,14.6,14.3,13.5,14.7,17.5,18.7,20.5,13.6,11.1,13.1,16.1,6.4,10.5,13.4,17.1,4.3,3.6,4.7,6.2,1.2,2.8,3.6,4.8,1.1,44886,54221,67387,28198,61477,70760,83745,40777,28.4,(X),(X),(X),(X),29.6,(X),(X),(X),(X),(X),24.6
2012,0400000US36,New York,7230896,4646324,3224971,2584572,7.8,4.9,1.6,14.2,5.2,3.4,1.9,8.9,9.9,7.7,5,14.5,9.1,8.2,6.3,11.3,12,11.6,10.1,12.9,16.9,17.3,17.5,15.7,12,13.5,15.1,8.8,14.1,17.1,21,7.7,6,7.7,10,2.6,6.8,8.5,11.5,3.3,57683,69968,86906,36030,83578,96853,116213,56313,32.9,(X),(X),(X),(X),34.5,(X),(X),(X),(X),(X),28.2
2012,0400000US37,North Carolina,3693221,2464763,1809333,1228458,8.3,5.4,1.7,15.3,6.3,3.7,1.8,12,11.9,9.5,6.3,17.5,11.8,10.6,8.5,14.6,14.9,14.5,13.6,15.3,18.3,20,22.2,13.8,11.4,13.9,16.9,5.7,10.5,13.6,17.4,3.8,3.4,4.6,6,1,3.2,4.2,5.6,0.9,46450,57146,69888,28218,63562,74684,88195,39185,27.3,(X),(X),(X),(X),27.8,(X),(X),(X),(X),(X),24.9
2012,0400000US38,North Dakota,282667,173196,140826,109471,7.1,3.5,1.2,13.8,5.5,2.3,1.2,10.8,10.3,6.5,4.5,16.9,11.2,8,6.4,16.5,14.5,13.2,11.6,16.8,19.3,22.1,23.3,14.3,13.4,17.8,20.6,5.8,12.3,17.5,20.5,3.2,3.1,4.6,5.4,0.8,3.2,4.5,5.3,1.1,51641,68293,76946,30195,67426,83141,92261,40393,25.7,(X),(X),(X),(X),25.4,(X),(X),(X),(X),(X),25.3
2012,0400000US39,Ohio,4555709,2962217,2188169,1593492,8.1,5.2,1.4,14.9,5.8,3.3,1.4,11,11.7,7.9,4.8,19.2,11.2,9.4,7.5,14.9,14.7,14.3,13.5,15.4,18.9,21.1,22.9,13.9,12,15.1,18.1,5.5,11.1,14.9,18.9,3.5,3.5,4.9,6.3,0.9,2.9,4,5.2,0.8,48246,61163,73308,27940,63996,76523,89692,38484,25.1,(X),(X),(X),(X),25.1,(X),(X),(X),(X),(X),23.7
2012,0400000US40,Oklahoma,1439292,960435,717570,478857,8.3,5.2,1.8,15.9,6.5,3.6,1.9,12.6,12.5,9.5,6.7,19.1,12.1,10.7,9,15.2,15.1,15.1,14.4,14.7,18.7,21.3,23.5,12.6,11.4,14.2,17.1,4.9,10,13.2,16.5,3.1,2.8,3.8,4.8,0.8,2.6,3.4,4.3,0.9,44891,56068,66598,26272,60788,71663,82909,36750,26.8,(X),(X),(X),(X),27.2,(X),(X),(X),(X),(X),24.6
2012,0400000US41,Oregon,1512718,964274,741630,548444,7.4,4.7,1.7,13.8,5.5,3.2,1.7,10,11.3,8.2,5.9,17.5,11,9.5,7.9,13.9,14.8,14.2,13.5,15.5,19,20.9,22.3,14.9,12.3,15,17.3,6.7,11.8,15.1,18.2,5.2,3.7,5,6.2,1.3,3.2,4.3,5.3,1.2,50036,61438,71355,31072,66161,77630,88335,43010,23.1,(X),(X),(X),(X),23,(X),(X),(X),(X),(X),21.4
2012,0400000US42,Pennsylvania,4959633,3227194,2422887,1732439,7,4,1.2,13.7,5.6,2.8,1.3,11.1,11,7.1,4.5,18.8,10.6,8.9,7.1,14,13.9,13.4,12.2,14.7,18.7,20.6,21.5,14.7,12.5,15.4,17.7,6.3,12.4,16.4,20,4.4,4.3,5.9,7.5,1.2,4,5.5,7,1.1,52267,65980,77746,29221,70243,84421,97439,41381,27.5,(X),(X),(X),(X),27.7,(X),(X),(X),(X),(X),26
2012,0400000US44,Rhode Island,410639,256100,183381,154539,7.8,4.2,1.1,14.6,5.8,2.8,1.2,10.9,10,6.8,4,15.8,9,8,5.8,11.3,12.6,11.8,10,14.2,17.4,17.9,18.1,16,13,15.5,17.5,8,14.7,19.2,24.1,6.2,5.4,7.4,9.7,1.7,4.5,6.4,8.3,1.3,56102,72872,88243,32127,74605,90262,106064,45919,31.2,(X),(X),(X),(X),31.7,(X),(X),(X),(X),(X),29.3
2012,0400000US45,South Carolina,1768255,1192051,848206,576204,9.1,6.1,1.9,16.9,6.6,3.9,1.8,12.6,12.6,10.2,6.5,18.4,11.7,10.6,8.3,14.1,14.8,14.5,13.8,15,18.2,20.2,22.7,13,11.1,13.8,17.2,5.1,10.3,13.4,17.6,3.2,3.1,4.1,5.5,0.9,2.6,3.4,4.6,0.8,44623,55058,68756,26377,60416,70863,84949,36789,30.7,(X),(X),(X),(X),31.2,(X),(X),(X),(X),(X),28.2
2012,0400000US46,South Dakota,320467,207727,163408,112740,6.9,3.8,1.4,13.5,5.9,2.6,1.2,12.5,11.1,7.6,4.8,18.3,11.7,9.3,6.8,16.8,15.2,14.1,13,17.4,20.4,23.6,26.1,12.8,13.4,17.6,20.7,4.8,10.1,14,17,2.4,2.7,3.7,4.6,0.7,2.6,3.7,4.5,0.7,49091,62967,71818,28178,63453,76985,87395,36329,22,(X),(X),(X),(X),22.4,(X),(X),(X),(X),(X),20.4
2012,0400000US47,Tennessee,2468841,1650513,1216529,818328,8.9,5.6,2,16.8,6.7,4.1,2.1,12.6,12.7,10,7,18.7,12.1,10.6,9,15.1,15,15,14.4,14.6,18.2,20.6,22.9,12.4,11,13.7,16.6,5,9.5,12.4,15.8,3.1,3,4,5.2,0.8,2.9,3.8,5,0.9,44140,54737,65978,26125,60861,71757,83973,36948,27,(X),(X),(X),(X),27.5,(X),(X),(X),(X),(X),24.6
2012,0400000US48,Texas,8782598,6140838,4452355,2641760,7.4,5.1,1.9,14.6,5.4,3.8,2.1,9.9,11,9.3,6.5,15.7,10.9,10,8.1,13.2,13.9,13.3,12.2,15,18,18.6,19.5,15.6,11.8,13.4,15.7,7.2,12.4,15,18.8,5.6,4.6,5.8,7.5,1.7,4.5,5.7,7.6,1.6,51563,60621,74512,31973,71651,81437,95937,45867,28.2,(X),(X),(X),(X),29,(X),(X),(X),(X),(X),24.7
2012,0400000US49,Utah,880873,659829,538595,221044,5.1,3.4,1.6,11.7,4,2.3,1.4,9.4,8.8,6.4,4.8,17,9.5,8.2,7,14.1,14.7,14.1,13.3,16.5,22,23.2,24,17.2,14.3,16.5,18.2,7,13.9,16.4,18.8,4.9,4.3,5.1,6,1.4,3.4,4.2,4.9,0.9,58164,66014,72753,33325,73002,81435,88987,44108,24.4,(X),(X),(X),(X),23.5,(X),(X),(X),(X),(X),24.3
2012,0400000US50,Vermont,256830,161722,127792,95108,5.9,3.1,1.1,12,5.4,2.4,1.1,11.1,10.3,7,4.4,16.9,10.1,8.2,6.4,13.7,14.6,14.1,12.9,15.7,20.1,21.6,22.6,16.6,13.8,17,19.4,7.3,12.5,16.7,19.9,4.5,4.1,5.5,6.8,1.2,3.2,4.4,5.4,1,54168,67274,76641,31957,69033,82508,92723,42931,24.8,(X),(X),(X),(X),24.2,(X),(X),(X),(X),(X),24.1
2012,0400000US51,Virginia,3006219,2025903,1536475,980316,5.7,3.4,1.1,11.3,4.2,2.4,1.1,8.4,8.5,6.2,3.9,13.7,8.7,7.4,5.5,11.9,12.6,11.7,10,14.7,17.7,17.9,17.8,16.6,13,14.6,16.3,9.2,15.4,18.2,21.6,8.8,7,8.7,10.7,3,7.3,9.6,12.1,2.3,63636,76566,90806,39365,86343,99955,115083,55061,25.5,(X),(X),(X),(X),25.7,(X),(X),(X),(X),(X),23.6
2012,0400000US53,Washington,2619995,1689518,1309534,930477,6.1,3.7,1.3,11.7,4.3,2.6,1.3,7.8,9,6.5,4.1,14.3,9.5,7.6,5.9,13.3,13.4,12.3,11.1,15.7,19,19.7,20.1,17.4,13.6,15.6,17.5,9.1,14.9,18.7,22.2,7,5.5,7.1,8.8,2,4.7,6.3,7.8,1.7,59374,71939,83277,37441,77232,90148,102285,50463,22.2,(X),(X),(X),(X),22.1,(X),(X),(X),(X),(X),20.6
2012,0400000US54,West Virginia,742674,484531,372028,258143,10.2,5.9,2.3,19.8,7.5,4.2,2.6,14.1,14.6,10.5,8.1,22.3,12.2,11.4,10.4,13.8,14.7,16.1,16.2,11.8,18,21.4,23.6,10.8,10.5,13.6,16,3.9,8.5,11.5,14.1,2.4,2.1,2.9,3.6,0.5,1.8,2.4,3,0.6,40400,51770,59930,21673,54072,64914,73471,31966,28.6,(X),(X),(X),(X),29.3,(X),(X),(X),(X),(X),26
2012,0400000US55,Wisconsin,2286339,1476851,1150350,809488,5.9,3.5,1.1,11.6,5.3,2.6,1,10.7,10.8,6.9,4.2,18.8,10.8,8.6,6.7,15.1,14.8,13.8,12.5,16.6,20.1,21.8,23.2,15.8,13.6,17.2,20.1,6.1,12.4,16.8,20.4,3.6,3.5,4.8,5.9,0.9,2.9,4,4.9,0.7,52627,66415,76439,30585,67188,80551,91400,40289,24.4,(X),(X),(X),(X),24.1,(X),(X),(X),(X),(X),23.7
2012,0400000US56,Wyoming,221479,145992,117493,75487,5.1,3,1.1,10.7,4.8,2.2,1,10.5,9.5,6.2,4.5,17,10.4,8.3,6,15.1,14.2,12.8,11.6,16,19.9,21.6,22.5,15.7,14.4,17.5,19.8,7.6,14.6,18.9,22.5,5.4,4.1,5.6,6.6,1.1,2.8,3.8,4.4,0.8,56573,70013,78694,32245,70836,83409,92550,43328,22.3,(X),(X),(X),(X),23,(X),(X),(X),(X),(X),19.5
2012,0400000US72,Puerto Rico,1217584,887615,514687,329969,28.6,23.5,13,45.8,12,10.9,10.1,15.6,18.2,19.1,19.2,16,12.3,13.6,14.5,8.3,11.9,13.3,15.9,6.7,9.5,11,14.8,4.3,3.6,4.1,5.8,1.7,2.4,2.8,4.2,1.1,0.7,0.8,1.2,0.3,0.7,0.8,1.3,0.3,19515,22801,30098,11243,30270,33478,42259,19164,23.3,(X),(X),(X),(X),24.8,(X),(X),(X),(X),(X),16.9
2013,GEO_ID,NAME,S1901_C01_001E,S1901_C02_001E,S1901_C03_001E,S1901_C04_001E,S1901_C01_002E,S1901_C02_002E,S1901_C03_002E,S1901_C04_002E,S1901_C01_003E,S1901_C02_003E,S1901_C03_003E,S1901_C04_003E,S1901_C01_004E,S1901_C02_004E,S1901_C03_004E,S1901_C04_004E,S1901_C01_005E,S1901_C02_005E,S1901_C03_005E,S1901_C04_005E,S1901_C01_006E,S1901_C02_006E,S1901_C03_006E,S1901_C04_006E,S1901_C01_007E,S1901_C02_007E,S1901_C03_007E,S1901_C04_007E,S1901_C01_008E,S1901_C02_008E,S1901_C03_008E,S1901_C04_008E,S1901_C01_009E,S1901_C02_009E,S1901_C03_009E,S1901_C04_009E,S1901_C01_010E,S1901_C02_010E,S1901_C03_010E,S1901_C04_010E,S1901_C01_011E,S1901_C02_011E,S1901_C03_011E,S1901_C04_011E,S1901_C01_012E,S1901_C02_012E,S1901_C03_012E,S1901_C04_012E,S1901_C01_013E,S1901_C02_013E,S1901_C03_013E,S1901_C04_013E,S1901_C01_014E,S1901_C02_014E,S1901_C03_014E,S1901_C04_014E,S1901_C01_015E,S1901_C02_015E,S1901_C03_015E,S1901_C04_015E,S1901_C01_016E,S1901_C02_016E,S1901_C03_016E,S1901_C04_016E
2013,Geography,Geographic Area Name,Households!!Estimate!!Total,Families!!Estimate!!Total,Married-couple families!!Estimate!!Total,Nonfamily households!!Estimate!!Total,"Households!!Estimate!!Less than $10,000","Families!!Estimate!!Less than $10,000","Married-couple families!!Estimate!!Less than $10,000","Nonfamily households!!Estimate!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Families!!Estimate!!$10,000 to $14,999","Married-couple families!!Estimate!!$10,000 to $14,999","Nonfamily households!!Estimate!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Families!!Estimate!!$15,000 to $24,999","Married-couple families!!Estimate!!$15,000 to $24,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Families!!Estimate!!$25,000 to $34,999","Married-couple families!!Estimate!!$25,000 to $34,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Families!!Estimate!!$35,000 to $49,999","Married-couple families!!Estimate!!$35,000 to $49,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Families!!Estimate!!$50,000 to $74,999","Married-couple families!!Estimate!!$50,000 to $74,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Families!!Estimate!!$75,000 to $99,999","Married-couple families!!Estimate!!$75,000 to $99,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Families!!Estimate!!$100,000 to $149,999","Married-couple families!!Estimate!!$100,000 to $149,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Families!!Estimate!!$150,000 to $199,999","Married-couple families!!Estimate!!$150,000 to $199,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Families!!Estimate!!$200,000 or more","Married-couple families!!Estimate!!$200,000 or more","Nonfamily households!!Estimate!!$200,000 or more",Households!!Estimate!!Median income (dollars),Families!!Estimate!!Median income (dollars),Married-couple families!!Estimate!!Median income (dollars),Nonfamily households!!Estimate!!Median income (dollars),Households!!Estimate!!Mean income (dollars),Families!!Estimate!!Mean income (dollars),Married-couple families!!Estimate!!Mean income (dollars),Nonfamily households!!Estimate!!Mean income (dollars),Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months
2013,0400000US01,Alabama,1838683,1241686,883432,596997,10,6.4,2,18.6,7,4.1,1.9,13.2,13.1,10.4,6.9,19.1,11.5,10.5,8.8,13.7,14.5,14.6,14.2,14,17.3,19.4,21.7,12.1,10.8,13.5,16.7,4.6,10.1,13.3,17.3,3.2,3.2,4.3,5.7,0.7,2.6,3.5,4.7,0.7,43253,54362,67834,24332,59631,70661,84383,35032,29.3,(X),(X),(X),(X),29.9,(X),(X),(X),(X),(X),26.9
2013,0400000US02,Alaska,251899,169367,126436,82532,3.8,2.7,0.6,7.6,3.5,1.9,0.8,7.4,7.7,5.2,2.6,13.6,7.7,6.5,4.3,11.1,11.7,10,8.1,15.5,18.5,17.9,17.4,19.3,15.1,17,19,11,18.5,21.9,26,9.4,7.9,9.9,12.3,3,5.6,7.1,9,2.1,70760,82870,95963,44200,87235,99002,113339,57785,24.7,(X),(X),(X),(X),25.2,(X),(X),(X),(X),(X),21.3
2013,0400000US04,Arizona,2370289,1563121,1139274,807168,7.6,5.5,2.3,13.5,5.2,3.4,1.9,9.3,11.3,8.7,6.3,16.8,11.2,10.2,8.5,13.7,14.8,14.3,13.3,15.8,18.6,19.9,20.9,15.2,12,13.9,16.2,7.4,11.9,14.6,18.1,5.6,3.9,5,6.4,1.5,3.5,4.5,5.9,1.3,49774,58897,70523,32315,66971,76682,88809,45022,29.6,(X),(X),(X),(X),30,(X),(X),(X),(X),(X),27
2013,0400000US05,Arkansas,1129723,762881,560823,366842,9.4,5.9,2,18.1,7.6,4.3,2.2,14.9,14.2,11.5,8.1,20.2,12.7,11.9,10.6,14.3,15.2,15.7,15.9,13.7,17.6,20.3,23,11.1,9.9,12.6,15.3,3.9,8.8,11.5,14.6,2.5,2.6,3.5,4.5,0.7,2.1,2.8,3.7,0.6,40768,50759,60778,23120,55749,65633,76643,33302,27.7,(X),(X),(X),(X),28.3,(X),(X),(X),(X),(X),25.1
2013,0400000US06,California,12542460,8603822,6168251,3938638,5.7,4.4,1.8,10.5,5.2,3.2,1.8,10.1,9.6,8.3,6,13.4,9.1,8.4,6.8,10.9,12.3,12,10.7,13,16.9,17,16.8,16.1,12.4,13.1,14.3,9.8,14.9,16.9,20.2,9.4,6.8,8,10.1,3.4,7.2,8.7,11.5,3.4,61094,69661,85024,40611,85408,94926,111056,59554,29.6,(X),(X),(X),(X),30.2,(X),(X),(X),(X),(X),25.6
2013,0400000US08,Colorado,1977591,1269436,981124,708155,6.2,3.9,1.4,11.5,4.4,2.3,1.2,8.3,9.4,6.7,4.5,14.9,9.6,7.7,6.1,13.3,13.4,12,10.6,16,18.4,18.9,19.2,16.9,13.2,15.3,17.1,8.8,14.5,18.3,21.8,6.6,5.7,7.6,9.3,1.9,5.2,7.1,8.7,1.6,58433,72687,84486,36615,78383,92644,105093,50001,24.5,(X),(X),(X),(X),24.6,(X),(X),(X),(X),(X),22.8
2013,0400000US09,Connecticut,1355849,903577,669883,452272,5.6,3.3,0.9,11.1,4,2.1,0.8,8.1,8.4,5.2,2.8,15.1,7.8,6.3,4.4,11.4,11,9.5,7.7,14.2,16.5,15.9,15,17.5,13.1,14.6,15.7,9.8,16.8,20.8,24.5,7.8,7.8,10,12.6,2.6,9.1,12.2,15.7,2.5,69461,87245,104603,39297,97650,117094,137571,55498,29,(X),(X),(X),(X),29.9,(X),(X),(X),(X),(X),25.8
2013,0400000US10,Delaware,335707,226784,164066,108923,5.5,3.4,1.1,11,4.1,2.1,0.7,8.5,9.2,6.5,3.9,15.7,9.7,8.4,5.9,13,13.1,12.1,10.4,16.1,19.1,19.5,19.6,17.4,13.5,15.8,17.7,8.1,15.4,18.9,23.2,6.6,5.6,7.1,9.3,1.9,4.8,6.2,8.1,1.6,59878,71811,86158,36522,77915,89888,105040,49014,30.2,(X),(X),(X),(X),30.6,(X),(X),(X),(X),(X),27.3
2013,0400000US11,District of Columbia,263649,112278,60581,151371,10.4,8,1.3,12.6,4.6,3.7,1.3,5.4,7.7,7.7,3.1,7.9,7,6.9,3.6,7.3,10.4,9.1,5.8,11.3,14.5,12.6,9.8,15.6,11,9.3,9.7,12,14.7,14.3,18.5,14.8,7.9,9.9,15.4,6.4,11.9,18.4,31.5,6.6,65830,79665,140899,57584,101076,126759,185887,80031,30.1,(X),(X),(X),(X),33.5,(X),(X),(X),(X),(X),26.5
2013,0400000US12,Florida,7158980,4629753,3364988,2529227,7.8,5.1,2.2,14.1,5.7,3.5,2,10.2,12.2,9.3,6.6,18.1,11.8,10.8,9.1,14,15.2,15.1,14.1,15.4,18.2,19.9,21.2,14.3,11.1,13.3,15.6,6.4,10.6,13.4,16.6,4.7,3.6,4.7,6.1,1.4,3.7,4.9,6.5,1.5,46956,56738,68025,30211,66368,77438,90260,43516,31.7,(X),(X),(X),(X),31.8,(X),(X),(X),(X),(X),29.9
2013,0400000US13,Georgia,3518097,2400096,1696281,1118001,8.7,6.1,2,16,5.8,3.7,1.8,10.6,11.4,9.4,6.2,16.2,10.9,10,8,13.2,13.9,13.4,12.5,14.7,18,19.1,20.6,14.9,11.6,13.4,16.2,6.8,11.5,14.3,18.5,5,4.2,5.4,7.3,1.4,3.9,5.1,6.9,1.3,49179,58755,73295,30307,67572,77878,93253,42949,32.1,(X),(X),(X),(X),32.9,(X),(X),(X),(X),(X),28.8
2013,0400000US15,Hawaii,449771,312058,231608,137713,5.8,3.3,1.4,12.5,3.5,2.2,1.3,6.9,7.5,5.3,3.9,13.1,7.9,6.6,5.1,11.7,11.8,10.8,9.6,15.1,18.3,18.4,18,18.7,14.4,16.4,17.3,9.7,17.8,21.3,24.6,8.3,7,8.6,10.3,2.2,5.9,7.1,8.6,1.9,67402,79963,89614,40598,84933,95757,106278,53800,31.2,(X),(X),(X),(X),32.2,(X),(X),(X),(X),(X),26
2013,0400000US16,Idaho,579797,404646,323892,175151,7,4.4,2,14.4,5.6,3.1,1.8,11.9,11.9,8.6,6.7,20.2,12.7,11.3,10.1,16.2,15.9,16.5,15.9,14.7,20.3,22.8,24.7,13.1,12,14.7,16.9,5,9.7,12.1,14.3,3.3,2.7,3.6,4.2,0.7,2.2,2.9,3.4,0.6,46767,55905,62766,26853,60192,69270,76731,36631,26.1,(X),(X),(X),(X),25.7,(X),(X),(X),(X),(X),25.2
2013,0400000US17,Illinois,4772723,3136362,2314425,1636361,7.1,4.4,1.4,13.4,4.6,2.7,1.2,8.7,10.2,7.2,4.4,16.5,9.7,8.2,6.4,12.9,12.9,12.2,10.9,14.4,17.9,18.6,19,16.1,12.9,15,17,8.3,14,17.7,21.6,6.1,5.4,7.1,9,1.8,5.3,7,9.1,1.9,56797,70344,84237,33666,77660,91452,106964,48604,29.5,(X),(X),(X),(X),30.2,(X),(X),(X),(X),(X),26.8
2013,0400000US18,Indiana,2481793,1655596,1240254,826197,7.4,5,1.6,13.7,5.5,3.1,1.4,10.8,11.7,8,4.9,19.8,11.7,9.8,7.9,15.7,15.5,15.1,14.2,16.1,19.3,21.6,23.6,13.7,12.5,15.4,18.4,5.5,11,14.5,18.2,3.2,3.1,4.1,5.3,0.7,2.6,3.4,4.4,0.7,48248,59911,70799,28292,62988,74058,85760,38260,25.7,(X),(X),(X),(X),25.6,(X),(X),(X),(X),(X),24.6
2013,0400000US19,Iowa,1226547,795274,631564,431273,6.2,3.4,1.1,12.5,5.3,2.4,1.2,11.1,10.8,6.8,4.3,19.1,11,8.7,6.7,15.8,14.9,14,12.7,16.5,20,22.6,23.9,14.4,13.5,17.3,20,5.7,12,16.4,19.7,3.3,3.4,4.8,5.8,0.8,2.8,3.8,4.5,0.8,51843,65802,75078,29511,66136,79574,89388,39009,24.8,(X),(X),(X),(X),24.2,(X),(X),(X),(X),(X),24.8
2013,0400000US20,Kansas,1110440,729607,565658,380833,6.4,3.6,1.1,13.2,5.2,2.7,1.2,10.4,11,7.3,4.6,18.8,11.2,9.1,7.2,15.5,15,14,13,16.5,19.4,21.2,22.7,14.7,12.6,16,18.4,5.5,12.1,16.1,19.5,3.6,3.9,5.3,6.6,0.9,3.4,4.6,5.7,0.8,51332,65069,75187,29612,68051,81598,92779,39710,24.3,(X),(X),(X),(X),24.1,(X),(X),(X),(X),(X),23.2
2013,0400000US21,Kentucky,1694996,1137576,841281,557420,10,6.4,2.3,19,7.1,4.4,2.5,13.2,13.1,10.2,7.3,19.3,11.6,10.5,9,13.9,14.6,14.7,14.5,14.1,17.6,20.1,22.3,11.9,11,13.9,16.8,4.5,9.9,13,16.5,2.8,2.7,3.7,4.7,0.6,2.4,3.2,4.1,0.7,43036,54279,65556,24130,58621,69402,80880,34520,26,(X),(X),(X),(X),26,(X),(X),(X),(X),(X),24.6
2013,0400000US22,Louisiana,1707852,1132483,759780,575369,9.9,6.4,1.6,18.2,7,4.4,2,12.6,12.8,10.4,6,18.3,11,10.1,8.2,12.8,13.5,13.5,12.8,13.5,16.5,18,20,12.9,11.2,13.7,17.2,5.6,11.2,14.4,19.5,3.9,3.7,4.9,6.9,1.1,3.2,4.2,5.9,1,44874,56288,74301,25539,62773,73921,91118,38227,32.9,(X),(X),(X),(X),34,(X),(X),(X),(X),(X),29.1
