Acsst5Y2010.S0101-Data.1.2,Geography,Geographic Area Name,Total  Estimate  Total Population,Male  Estimate  Total Population,Female  Estimate  Total Population,Total  Estimate  Age Under 5 Years,Male  Estimate  Age Under 5 Years,Female  Estimate  Age Under 5 Years,Total  Estimate  Age 5 To 9 Years,Male  Estimate  Age 5 To 9 Years,Female  Estimate  Age 5 To 9 Years,Total  Estimate  Age 10 To 14 Years,Male  Estimate  Age 10 To 14 Years,Female  Estimate  Age 10 To 14 Years,Total  Estimate  Age 15 To 19 Years,Male  Estimate  Age 15 To 19 Years,Female  Estimate  Age 15 To 19 Years,Total  Estimate  Age 20 To 24 Years,Male  Estimate  Age 20 To 24 Years,Female  Estimate  Age 20 To 24 Years,Total  Estimate  Age 25 To 29 Years,Male  Estimate  Age 25 To 29 Years,Female  Estimate  Age 25 To 29 Years,Total  Estimate  Age 30 To 34 Years,Male  Estimate  Age 30 To 34 Years,Female  Estimate  Age 30 To 34 Years,Total  Estimate  Age 35 To 39 Years,Male  Estimate  Age 35 To 39 Years,Female  Estimate  Age 35 To 39 Years,Total  Estimate  Age 40 To 44 Years,Male  Estimate  Age 40 To 44 Years,Female  Estimate  Age 40 To 44 Years,Total  Estimate  Age 45 To 49 Years,Male  Estimate  Age 45 To 49 Years,Female  Estimate  Age 45 To 49 Years,Total  Estimate  Age 50 To 54 Years,Male  Estimate  Age 50 To 54 Years,Female  Estimate  Age 50 To 54 Years,Total  Estimate  Age 55 To 59 Years,Male  Estimate  Age 55 To 59 Years,Female  Estimate  Age 55 To 59 Years,Total  Estimate  Age 60 To 64 Years,Male  Estimate  Age 60 To 64 Years,Female  Estimate  Age 60 To 64 Years,Total  Estimate  Age 65 To 69 Years,Male  Estimate  Age 65 To 69 Years,Female  Estimate  Age 65 To 69 Years,Total  Estimate  Age 70 To 74 Years,Male  Estimate  Age 70 To 74 Years,Female  Estimate  Age 70 To 74 Years,Total  Estimate  Age 75 To 79 Years,Male  Estimate  Age 75 To 79 Years,Female  Estimate  Age 75 To 79 Years,Total  Estimate  Age 80 To 84 Years,Male  Estimate  Age 80 To 84 Years,Female  Estimate  Age 80 To 84 Years,Total  Estimate  Age 85 Years And Over,Male  Estimate  Age 85 Years And Over,Female  Estimate  Age 85 Years And Over,Total  Estimate  Selected Age Categories 5 To 14 Years,Male  Estimate  Selected Age Categories 5 To 14 Years,Female  Estimate  Selected Age Categories 5 To 14 Years,Total  Estimate  Selected Age Categories 15 To 17 Years,Male  Estimate  Selected Age Categories 15 To 17 Years,Female  Estimate  Selected Age Categories 15 To 17 Years,Total  Estimate  Selected Age Categories 18 To 24 Years,Male  Estimate  Selected Age Categories 18 To 24 Years,Female  Estimate  Selected Age Categories 18 To 24 Years,Total  Estimate  Selected Age Categories 15 To 44 Years,Male  Estimate  Selected Age Categories 15 To 44 Years,Female  Estimate  Selected Age Categories 15 To 44 Years,Total  Estimate  Selected Age Categories 16 Years And Over,Male  Estimate  Selected Age Categories 16 Years And Over,Female  Estimate  Selected Age Categories 16 Years And Over,Total  Estimate  Selected Age Categories 18 Years And Over,Male  Estimate  Selected Age Categories 18 Years And Over,Female  Estimate  Selected Age Categories 18 Years And Over,Total  Estimate  Selected Age Categories 60 Years And Over,Male  Estimate  Selected Age Categories 60 Years And Over,Female  Estimate  Selected Age Categories 60 Years And Over,Total  Estimate  Selected Age Categories 62 Years And Over,Male  Estimate  Selected Age Categories 62 Years And Over,Female  Estimate  Selected Age Categories 62 Years And Over,Total  Estimate  Selected Age Categories 65 Years And Over,Male  Estimate  Selected Age Categories 65 Years And Over,Female  Estimate  Selected Age Categories 65 Years And Over,Total  Estimate  Selected Age Categories 75 Years And Over,Male  Estimate  Selected Age Categories 75 Years And Over,Female  Estimate  Selected Age Categories 75 Years And Over,Total  Estimate  Summary Indicators Median Age (Years),Male  Estimate  Summary Indicators Median Age (Years),Female  Estimate  Summary Indicators Median Age (Years),Total  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Male  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Female  Estimate  Summary Indicators Sex Ratio (Males Per 100 Females),Total  Estimate  Summary Indicators Age Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio,Total  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio Old-Age Dependency Ratio,Total  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Male  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Female  Estimate  Summary Indicators Age Dependency Ratio Child Dependency Ratio,Total  Estimate  Percent Imputed Sex,Male  Estimate  Percent Imputed Sex,Female  Estimate  Percent Imputed Sex,Total  Estimate  Percent Imputed Age,Male  Estimate  Percent Imputed Age,Female  Estimate  Percent Imputed Age
2011,0400000US49,Utah,2715379,1364170,1351209,9.5,9.7,9.3,8.9,9.1,8.7,8.2,8.3,8.1,8.1,8.1,8,8.5,8.6,8.4,8.3,8.5,8.2,7.7,7.9,7.5,6.4,6.4,6.4,5.7,5.8,5.5,5.7,5.7,5.7,5.5,5.4,5.6,4.7,4.7,4.8,3.8,3.7,3.9,2.8,2.7,2.9,2.1,2,2.3,1.7,1.5,1.9,1.2,1.1,1.4,1.1,0.8,1.4,17.1,17.5,16.7,4.7,4.9,4.6,11.8,11.8,11.9,44.7,45.2,44.1,71.8,71.1,72.4,68.6,67.9,69.4,12.8,11.8,13.8,11.1,10.2,12.1,9,8.1,9.9,4,3.4,4.7,29.1,28.6,29.6,101,(X),(X),67.6,(X),(X),15,(X),(X),52.6,(X),(X),0.2,(X),(X),1.2,(X),(X)
2011,0400000US50,Vermont,624958,308125,316833,5.1,5.4,4.9,5.6,5.8,5.3,6.1,6.4,5.8,7.5,7.9,7.1,7.1,7.4,6.8,5.5,5.6,5.5,5.5,5.5,5.4,5.8,5.9,5.7,7.2,7.2,7.2,8,8,8.1,8.4,8.3,8.4,7.7,7.8,7.7,6.3,6.3,6.2,4.4,4.4,4.5,3.2,3.1,3.4,2.6,2.4,2.9,2.2,1.7,2.6,1.9,1.2,2.5,11.6,12.2,11.1,4.1,4.3,3.9,10.5,11,10,38.5,39.4,37.7,81.9,81.1,82.7,79.1,78.2,80.1,20.6,19,22.1,17.8,16.2,19.4,14.3,12.8,15.8,6.6,5.3,8,41.4,40.1,42.6,97.3,(X),(X),54.3,(X),(X),22.1,(X),(X),32.2,(X),(X),0.1,(X),(X),0.9,(X),(X)
2011,0400000US51,Virginia,7926192,3891319,4034873,6.4,6.6,6.2,6.4,6.6,6.1,6.5,6.7,6.2,7,7.3,6.7,7.2,7.5,6.8,6.9,7.1,6.8,6.6,6.6,6.5,6.8,6.9,6.8,7.4,7.5,7.3,7.7,7.8,7.7,7.3,7.3,7.4,6.3,6.2,6.4,5.5,5.3,5.6,3.9,3.7,4,2.9,2.7,3,2.2,1.9,2.5,1.6,1.3,2,1.5,0.9,2,12.8,13.4,12.3,4,4.2,3.9,10.1,10.6,9.6,41.9,42.9,40.9,79.4,78.6,80.3,76.7,75.8,77.7,17.5,15.9,19.1,15.1,13.5,16.6,12.1,10.5,13.5,5.3,4.2,6.4,37.3,36.1,38.5,96.4,(X),(X),54.6,(X),(X),18.6,(X),(X),36,(X),(X),0.2,(X),(X),1,(X),(X)
2011,0400000US53,Washington,6652845,3314698,3338147,6.5,6.7,6.3,6.4,6.5,6.2,6.6,6.8,6.4,6.9,7.1,6.7,6.9,7.2,6.6,7.2,7.3,7,6.7,6.8,6.5,6.8,6.9,6.7,7,7.1,6.9,7.4,7.4,7.4,7.4,7.3,7.4,6.6,6.5,6.8,5.5,5.4,5.7,3.9,3.7,4,2.7,2.6,2.9,2.1,1.9,2.4,1.7,1.4,2,1.7,1.2,2.2,12.9,13.3,12.6,4.1,4.3,4,9.7,10.1,9.4,41.5,42.5,40.4,79.2,78.6,79.8,76.4,75.7,77.1,17.7,16.3,19.1,15.3,13.9,16.6,12.1,10.8,13.4,5.5,4.5,6.6,37.1,36.1,38.2,99.3,(X),(X),55.6,(X),(X),18.9,(X),(X),36.7,(X),(X),0.2,(X),(X),0.9,(X),(X)
2011,0400000US54,West Virginia,1846372,908648,937724,5.6,5.9,5.4,5.6,5.8,5.5,6,6.3,5.7,6.6,6.9,6.3,6.4,6.7,6.1,5.9,6,5.8,6,6.2,5.8,6.3,6.5,6.1,6.7,6.8,6.6,7.3,7.3,7.2,7.7,7.7,7.7,7.5,7.5,7.5,6.5,6.5,6.4,4.9,4.8,5,3.8,3.6,4,3,2.7,3.4,2.3,1.8,2.8,2,1.2,2.7,11.6,12.1,11.2,3.8,3.9,3.6,9.2,9.7,8.8,37.9,39.1,36.7,81.5,80.8,82.2,79,78.1,79.8,22.4,20.5,24.2,19.5,17.5,21.3,15.9,14,17.8,7.3,5.7,8.8,41.1,39.9,42.5,96.9,(X),(X),58.6,(X),(X),25.3,(X),(X),33.3,(X),(X),0.1,(X),(X),1,(X),(X)
2011,0400000US55,Wisconsin,5664893,2810744,2854149,6.3,6.5,6.1,6.4,6.6,6.3,6.7,6.9,6.5,7.1,7.4,6.9,6.9,7.1,6.7,6.4,6.6,6.3,6.1,6.3,6,6.2,6.3,6.1,6.9,7,6.8,7.8,7.8,7.7,7.6,7.6,7.5,6.7,6.7,6.6,5.3,5.3,5.3,3.9,3.7,4,3,2.8,3.2,2.5,2.2,2.9,2.1,1.7,2.5,2,1.3,2.7,13.1,13.5,12.7,4.2,4.4,4.1,9.8,10.1,9.5,39.7,40.7,38.7,79.2,78.6,79.8,76.4,75.6,77.1,18.9,17.1,20.6,16.5,14.8,18.3,13.5,11.8,15.3,6.7,5.2,8.1,38.3,37.2,39.4,98.5,(X),(X),59.2,(X),(X),21.5,(X),(X),37.6,(X),(X),0.2,(X),(X),0.9,(X),(X)
2011,0400000US56,Wyoming,554697,282671,272026,7,7.1,6.9,6.5,6.7,6.4,6.5,6.6,6.3,6.9,7.1,6.7,7.3,7.6,7,7.2,7.3,7.1,6.3,6.3,6.2,6,6.2,5.7,6.1,6,6.1,7.3,7.1,7.4,7.9,7.9,7.9,7.3,7.4,7.2,5.5,5.6,5.5,3.9,3.9,4,2.9,2.8,3.1,2.2,2,2.5,1.7,1.5,2,1.5,1,1.9,13,13.2,12.8,4,4.1,4,10.2,10.7,9.7,39.7,40.6,38.8,78.6,78.2,79.1,76,75.6,76.3,17.8,16.7,19,15.4,14.2,16.6,12.3,11.2,13.5,5.4,4.5,6.4,36.9,36.1,38,103.9,(X),(X),57.1,(X),(X),19.3,(X),(X),37.7,(X),(X),0.2,(X),(X),1,(X),(X)
2011,0400000US60,American Samoa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,0400000US66,Guam,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,0400000US69,Commonwealth of the Northern Mariana Islands,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,0400000US72,Puerto Rico,3742586,1793553,1949033,6.1,6.5,5.7,6.5,7,6,7.5,7.9,7.1,7.7,8.2,7.2,7.1,7.4,6.8,6.7,6.8,6.6,6.6,6.6,6.5,6.3,6.4,6.3,6.7,6.6,6.8,6.6,6.4,6.8,6.4,6.1,6.6,5.8,5.6,6.1,5.8,5.5,6,4.6,4.4,4.8,3.6,3.4,3.8,2.6,2.3,2.8,1.8,1.6,2,1.6,1.3,2,14,14.9,13.1,4.6,4.9,4.3,10.2,10.7,9.7,41.1,42,40.3,78.4,77,79.7,75.3,73.7,76.9,20,18.5,21.4,17.6,16.2,18.9,14.2,12.9,15.4,6.1,5.2,6.9,36.5,34.7,38.2,92,(X),(X),63.6,(X),(X),23.3,(X),(X),40.4,(X),(X),0.1,(X),(X),0.9,(X),(X)
2011,0400000US78,United States Virgin Islands,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2012,0400000US01,Alabama,4777326,2317520,2459806,6.4,6.7,6.1,6.5,6.8,6.2,6.7,7,6.3,7.1,7.5,6.7,7.1,7.3,6.9,6.5,6.6,6.4,6.2,6.3,6.2,6.3,6.3,6.4,6.6,6.7,6.5,7.1,7.2,7.1,7.2,7.2,7.2,6.5,6.4,6.6,5.8,5.8,5.9,4.5,4.3,4.6,3.4,3.1,3.6,2.6,2.2,2.9,1.9,1.5,2.2,1.6,1,2.2,13.1,13.8,12.5,4.1,4.4,3.9,10.1,10.4,9.7,39.9,40.8,39,79.1,78,80.2,76.3,75.1,77.5,19.7,17.9,21.5,17.2,15.4,18.9,13.9,12.1,15.5,6,4.7,7.3,37.8,36.4,39.2,94.2,(X),(X),60.1,(X),(X),22.2,(X),(X),37.9,(X),(X),0.1,(X),(X),1.2,(X),(X)
2012,0400000US02,Alaska,711139,370127,341012,7.5,7.5,7.5,7.1,6.9,7.2,7.2,7.2,7.2,7.3,7.4,7.2,7.9,8.4,7.5,7.7,7.8,7.6,6.7,6.7,6.7,6.3,6.1,6.5,6.9,7,6.7,7.5,7.5,7.5,7.9,7.9,7.9,7.2,7.4,7,5,5,4.9,3,3,2.9,2.1,2,2.1,1.3,1.2,1.4,0.9,0.7,1.1,0.6,0.4,0.8,14.3,14.1,14.4,4.5,4.4,4.5,10.8,11.3,10.3,42.9,43.3,42.4,76.7,76.8,76.6,73.8,73.9,73.6,12.8,12.4,13.2,10.5,10.1,11,7.8,7.4,8.4,2.8,2.3,3.3,33.8,33.6,34,108.5,(X),(X),51.7,(X),(X),11.9,(X),(X),39.8,(X),(X),0.1,(X),(X),1.9,(X),(X)
2012,0400000US04,Arizona,6410979,3187926,3223053,7.1,7.3,6.9,7,7.1,6.9,7,7.3,6.8,7.1,7.4,6.8,7,7.3,6.7,6.9,7.1,6.7,6.5,6.7,6.4,6.4,6.5,6.3,6.5,6.6,6.4,6.6,6.6,6.6,6.5,6.3,6.6,5.9,5.7,6.1,5.5,5.2,5.7,4.4,4.2,4.7,3.5,3.3,3.6,2.6,2.4,2.7,1.9,1.6,2.1,1.6,1.2,2,14,14.4,13.6,4.2,4.4,4.1,9.9,10.4,9.5,40.5,41.7,39.3,77.5,76.9,78.1,74.7,73.9,75.4,19.4,18,20.8,17.1,15.8,18.4,14,12.8,15.1,6.1,5.3,6.9,36,34.8,37.2,98.9,(X),(X),64.7,(X),(X),23,(X),(X),41.7,(X),(X),0.2,(X),(X),1.4,(X),(X)
2012,0400000US05,Arkansas,2916372,1431252,1485120,6.7,7,6.5,6.8,7.1,6.5,6.7,7,6.4,7,7.3,6.7,6.9,7.1,6.7,6.6,6.7,6.5,6.3,6.4,6.1,6.2,6.3,6.2,6.4,6.6,6.3,6.9,6.9,6.9,6.9,6.9,6.9,6.3,6.3,6.4,5.7,5.6,5.9,4.5,4.3,4.7,3.6,3.4,3.8,2.7,2.4,2.9,1.9,1.5,2.3,1.7,1.1,2.3,13.5,14.1,12.9,4.1,4.3,3.9,9.8,10.1,9.5,39.4,40.4,38.4,78.4,77.4,79.2,75.7,74.6,76.7,20.2,18.4,21.9,17.8,16,19.5,14.5,12.8,16,6.4,5.1,7.6,37.4,36.1,38.7,96.4,(X),(X),63.4,(X),(X),23.7,(X),(X),39.7,(X),(X),0.1,(X),(X),0.9,(X),(X)
2012,0400000US06,California,37325068,18561020,18764048,6.8,7,6.6,6.7,6.9,6.5,6.9,7.1,6.7,7.5,7.7,7.2,7.5,7.8,7.1,7.4,7.6,7.1,6.9,7.1,6.8,6.9,7,6.8,7,7.1,7,7.1,7.2,7.1,6.9,6.8,6.9,5.9,5.8,6.1,4.9,4.8,5.1,3.6,3.3,3.8,2.6,2.4,2.9,2.1,1.8,2.3,1.6,1.3,1.9,1.6,1.1,2.1,13.6,14,13.2,4.4,4.6,4.3,10.5,11,10,43.2,44.4,42,78.1,77.5,78.7,75.1,74.4,75.8,16.5,14.9,18,14.3,12.8,15.8,11.5,10.1,12.9,5.3,4.3,6.3,35.2,34.1,36.4,98.9,(X),(X),57.2,(X),(X),18.1,(X),(X),39.1,(X),(X),0.2,(X),(X),1.6,(X),(X)
2012,0400000US08,Colorado,5042853,2529614,2513239,6.8,6.9,6.6,6.9,7,6.8,6.6,6.7,6.4,6.8,7,6.5,7,7.3,6.7,7.4,7.6,7.2,7.1,7.3,6.9,7,7.1,6.8,7,7.1,6.9,7.3,7.2,7.3,7.3,7.3,7.4,6.5,6.4,6.7,5.4,5.3,5.5,3.7,3.5,3.9,2.6,2.5,2.7,1.9,1.7,2.1,1.5,1.2,1.7,1.4,0.9,1.9,13.5,13.7,13.2,4,4.1,3.9,9.8,10.2,9.4,42.2,43.4,41,78.4,78,78.9,75.8,75.3,76.3,16.4,15.1,17.8,14.1,12.7,15.4,11.1,9.8,12.3,4.8,3.9,5.7,36.1,35.1,37.1,100.7,(X),(X),54.5,(X),(X),17.1,(X),(X),37.4,(X),(X),0.2,(X),(X),1.2,(X),(X)
2012,0400000US09,Connecticut,3572213,1739522,1832691,5.6,5.9,5.3,6.2,6.5,5.9,6.7,7.1,6.3,7.1,7.5,6.8,6.3,6.7,6,6,6.2,5.8,5.8,5.9,5.7,6.2,6.2,6.3,7.3,7.4,7.3,8.1,8.1,8.1,7.9,7.9,7.9,6.7,6.6,6.7,5.8,5.7,5.8,4.2,4.1,4.4,3,2.8,3.2,2.5,2.2,2.8,2.1,1.8,2.5,2.4,1.5,3.2,12.9,13.6,12.3,4.2,4.5,4,9.2,9.7,8.7,38.8,39.9,37.8,80.1,79,81.1,77.3,76.1,78.4,20,18,21.9,17.6,15.6,19.5,14.3,12.3,16.1,7,5.5,8.5,40,38.5,41.2,94.9,(X),(X),58.8,(X),(X),22.7,(X),(X),36.1,(X),(X),0.2,(X),(X),1.3,(X),(X)
2012,0400000US10,Delaware,900131,436338,463793,6.2,6.5,5.9,6.4,6.7,6.1,6.2,6.5,5.9,7.1,7.4,6.8,7.1,7.4,6.8,6.4,6.6,6.3,6,6.1,5.9,6.2,6.2,6.2,6.7,6.7,6.6,7.4,7.4,7.4,7.3,7.2,7.3,6.5,6.1,6.8,5.9,5.9,6,4.7,4.4,4.9,3.5,3.4,3.6,2.6,2.4,2.8,1.9,1.6,2.2,1.8,1.3,2.3,12.6,13.3,12,4,4.3,3.8,10.1,10.5,9.8,39.5,40.4,38.7,79.8,78.7,80.9,77.2,75.9,78.3,20.5,19,21.8,18,16.6,19.3,14.5,13.1,15.8,6.3,5.3,7.3,38.7,37.3,40,94.1,(X),(X),59.7,(X),(X),23.2,(X),(X),36.5,(X),(X),0.1,(X),(X),1.2,(X),(X)
2012,0400000US11,District of Columbia,605759,286427,319332,5.7,6.2,5.3,4.4,4.7,4.2,4.2,4.5,3.9,6.9,6.8,7,9.8,9.5,10.1,11.4,11.1,11.7,9.3,9.5,9.1,7.3,7.5,7.1,6.3,7,5.7,6.3,6.8,5.9,6.1,6.3,6,5.6,5.6,5.6,5.1,4.8,5.4,3.6,3.4,3.7,2.6,2.3,2.8,2,1.8,2.2,1.6,1.2,1.9,1.7,1,2.3,8.6,9.2,8.1,2.8,3,2.7,13.9,13.3,14.5,51.1,51.4,50.7,84.7,83.7,85.7,82.8,81.7,83.9,16.5,14.4,18.3,14.3,12.3,16,11.4,9.7,12.9,5.3,4,6.4,33.9,33.7,34.1,89.7,(X),(X),40,(X),(X),16,(X),(X),24,(X),(X),0.1,(X),(X),1.5,(X),(X)
2012,0400000US12,Florida,18885152,9232292,9652860,5.7,6,5.5,5.7,5.9,5.5,6,6.3,5.7,6.4,6.8,6.1,6.6,6.9,6.4,6.3,6.5,6.1,5.9,6.1,5.8,6.2,6.3,6.1,6.7,6.8,6.6,7.3,7.4,7.3,7.1,7,7.2,6.4,6.2,6.6,6,5.8,6.2,5.1,4.9,5.3,4.1,3.9,4.3,3.3,3,3.5,2.6,2.3,2.9,2.4,1.8,3,11.7,12.2,11.2,3.8,4,3.6,9.3,9.7,8.9,38.2,39.5,37.1,81.4,80.5,82.2,78.8,77.8,79.7,23.5,21.7,25.2,21,19.3,22.6,17.5,15.9,19,8.2,7.1,9.3,40.8,39.4,42.2,95.6,(X),(X),63,(X),(X),28.5,(X),(X),34.5,(X),(X),0.2,(X),(X),1.7,(X),(X)
2012,0400000US13,Georgia,9714569,4747484,4967085,7.1,7.4,6.8,7.2,7.5,6.9,7.1,7.3,6.8,7.3,7.7,7,7.1,7.4,6.8,6.9,7,6.9,6.8,6.8,6.8,7.1,7.1,7.1,7.4,7.4,7.3,7.3,7.4,7.3,6.9,6.8,6.9,5.9,5.8,6.1,5.1,4.9,5.3,3.7,3.6,3.9,2.6,2.4,2.8,1.9,1.7,2.1,1.3,1,1.7,1.2,0.7,1.7,14.2,14.9,13.6,4.3,4.5,4.1,10.2,10.6,9.7,42.7,43.5,41.9,77.3,76.3,78.3,74.4,73.3,75.5,15.9,14.3,17.4,13.7,12.2,15.2,10.8,9.4,12.1,4.4,3.4,5.4,35.4,34.1,36.5,95.6,(X),(X),57.1,(X),(X),16.9,(X),(X),40.2,(X),(X),0.2,(X),(X),1.6,(X),(X)
2012,0400000US15,Hawaii,1362730,683498,679232,6.5,6.6,6.3,5.9,6.2,5.6,6.1,6.1,6.1,6.2,6.5,6,7.2,7.8,6.5,7.3,7.6,7,6.5,6.7,6.4,6.3,6.4,6.2,6.6,6.6,6.6,6.9,6.9,6.9,7.1,7.1,7.2,6.6,6.5,6.8,6.2,6.2,6.2,4.3,4.2,4.4,3.1,2.9,3.4,2.6,2.2,2.9,2.1,1.7,2.6,2.3,1.7,2.9,12,12.3,11.7,3.8,3.8,3.7,9.7,10.4,8.9,40.1,41.6,38.7,80.3,79.7,80.8,77.8,77.2,78.3,20.7,18.9,22.4,17.9,16,19.7,14.5,12.7,16.2,7,5.6,8.4,38.4,37,39.9,100.6,(X),(X),58,(X),(X),22.8,(X),(X),35.1,(X),(X),0.2,(X),(X),1.7,(X),(X)
2012,0400000US16,Idaho,1567803,785954,781849,7.6,7.8,7.5,7.6,7.7,7.5,7.5,7.8,7.3,7.3,7.5,7.1,7,7.2,6.9,6.8,6.9,6.7,6.5,6.6,6.4,6.2,6.3,6,6.1,6.1,6.1,6.5,6.5,6.6,6.7,6.6,6.8,6.1,6.1,6.2,5.4,5.4,5.4,4.1,4,4.2,3,2.9,3,2.2,2,2.4,1.7,1.4,1.9,1.6,1.2,2,15.1,15.5,14.8,4.4,4.6,4.2,9.9,10.1,9.8,39.9,40.7,39.2,75.8,75.3,76.3,72.8,72.2,73.5,18,17,19,15.6,14.6,16.5,12.5,11.6,13.5,5.5,4.6,6.3,34.7,33.8,35.5,100.5,(X),(X),65.9,(X),(X),20.8,(X),(X),45,(X),(X),0.2,(X),(X),1.1,(X),(X)
2012,0400000US17,Illinois,12823860,6291373,6532487,6.5,6.8,6.2,6.7,6.9,6.5,6.8,7.1,6.5,7.2,7.5,6.8,6.9,7.1,6.6,7.1,7.2,6.9,6.8,6.9,6.6,6.6,6.8,6.5,6.9,6.9,6.8,7.2,7.3,7.2,7.2,7.2,7.2,6.3,6.2,6.4,5.2,5.1,5.3,3.8,3.7,4,2.9,2.6,3.1,2.3,2,2.6,1.8,1.5,2.2,1.8,1.2,2.5,13.5,14,13,4.3,4.5,4.1,9.8,10.2,9.3,41.4,42.5,40.3,78.6,77.7,79.4,75.7,74.7,76.7,17.9,16,19.7,15.6,13.7,17.4,12.7,10.9,14.4,5.9,4.6,7.2,36.6,35.3,38,96.3,(X),(X),58.5,(X),(X),20.1,(X),(X),38.5,(X),(X),0.1,(X),(X),1.2,(X),(X)
2012,0400000US18,Indiana,6485530,3192018,3293512,6.6,6.9,6.4,6.8,7.1,6.6,7,7.3,6.7,7.3,7.6,7,7,7.2,6.9,6.5,6.6,6.3,6.3,6.5,6.2,6.3,6.5,6.2,6.7,6.8,6.6,7.2,7.2,7.1,7.3,7.3,7.2,6.5,6.4,6.5,5.4,5.3,5.5,4,3.9,4.2,3,2.8,3.3,2.4,2.1,2.7,1.9,1.5,2.3,1.7,1.1,2.4,13.8,14.3,13.3,4.3,4.5,4.1,10.1,10.4,9.8,40.1,41.2,39.1,78.1,77.3,79,75.3,74.3,76.3,18.5,16.6,20.3,16.1,14.3,17.9,13.1,11.3,14.8,6,4.7,7.3,37,35.6,38.3,96.9,(X),(X),60.7,(X),(X),21,(X),(X),39.7,(X),(X),0.1,(X),(X),0.8,(X),(X)
2012,0400000US19,Iowa,3047646,1507335,1540311,6.5,6.7,6.3,6.6,6.7,6.5,6.6,6.9,6.3,7.1,7.4,6.9,7.1,7.3,6.8,6.4,6.7,6.2,6.1,6.3,6,5.8,5.9,5.7,6.2,6.4,6.1,7,7.1,6.9,7.3,7.4,7.2,6.6,6.7,6.6,5.6,5.6,5.6,4.1,3.9,4.3,3.3,3.1,3.5,2.8,2.4,3.2,2.3,1.8,2.7,2.4,1.5,3.3,13.2,13.6,12.7,4.1,4.2,4,10.1,10.5,9.8,38.8,40,37.7,78.9,78.3,79.6,76.2,75.4,77,20.6,18.5,22.6,18.1,16.1,20.1,14.9,12.9,16.9,7.5,5.8,9.1,38,36.6,39.4,97.9,(X),(X),63.3,(X),(X),24.4,(X),(X),38.9,(X),(X),0.1,(X),(X),0.8,(X),(X)
2012,0400000US20,Kansas,2851183,1414881,1436302,7.1,7.3,6.9,7.1,7.3,6.8,7,7.2,6.7,7.1,7.4,6.9,7.2,7.6,6.9,6.9,7.1,6.7,6.3,6.5,6.2,6,6.1,5.9,6.2,6.4,6.1,7,7,7,7.1,7.1,7.2,6.4,6.4,6.4,5.3,5.2,5.3,3.9,3.7,4,2.9,2.7,3.1,2.4,2.1,2.7,2,1.6,2.4,2.1,1.4,2.8,14,14.5,13.6,4.2,4.3,4,10.2,10.7,9.7,39.8,41,38.6,77.5,76.8,78.1,74.7,73.9,75.5,18.5,16.7,20.3,16.3,14.5,18,13.3,11.5,15,6.5,5.1,7.9,36,34.7,37.5,98.5,(X),(X),62.8,(X),(X),21.6,(X),(X),41.2,(X),(X),0.1,(X),(X),1,(X),(X)
